Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,197.8333282470703,199.0833282470703,192.25,193.2083282470703,118.20928955078125,6309685
2010-01-05,195.1666717529297,195.7083282470703,190.125,191.0833282470703,116.90912628173828,8199537
2010-01-06,191.9166717529297,195.75,189.7083282470703,190.1666717529297,116.34831237792969,8325996
2010-01-07,191.5,191.5,187.7083282470703,190.2083282470703,116.37381744384766,6505911
2010-01-08,191.5,194.6666717529297,191.0,192.5833282470703,117.8268814086914,7441676
2010-01-11,194.25,196.125,193.3333282470703,194.125,118.77009582519531,3774640
2010-01-12,195.0,195.5,190.6666717529297,191.1666717529297,116.96013641357422,3794679
2010-01-13,190.0833282470703,192.875,189.25,191.1666717529297,116.96013641357422,5045623
2010-01-14,191.6666717529297,193.9166717529297,191.6666717529297,192.5,117.7759017944336,3604338
2010-01-15,195.4166717529297,195.4166717529297,192.5,193.5416717529297,118.41325378417969,3700988
2010-01-18,193.5416717529297,194.5,192.25,192.7083282470703,117.90333557128906,2488917
2010-01-19,193.5416717529297,194.0,189.25,189.75,116.09336853027344,3848296
2010-01-20,191.75,193.75,190.5,191.1666717529297,116.96013641357422,6302983
2010-01-21,191.6666717529297,192.4583282470703,185.5416717529297,186.25,113.9520034790039,5615904
2010-01-22,183.5833282470703,187.8333282470703,183.0,185.25,113.34016418457031,6955587
2010-01-25,185.8333282470703,187.0833282470703,183.8333282470703,186.5,114.10496520996094,2694200
2010-01-27,185.8333282470703,187.5,179.1666717529297,180.4166717529297,110.38304138183594,7334034
2010-01-28,182.0,184.5833282470703,176.7083282470703,178.375,109.1338882446289,10990456
2010-01-29,178.7083282470703,179.9166717529297,175.2916717529297,178.5833282470703,109.26136779785156,7045766
2010-02-01,180.8333282470703,180.8333282470703,175.5,176.0833282470703,107.73179626464844,5982205
2010-02-02,176.875,177.5,171.4166717529297,171.6666717529297,105.02957916259766,5804071
2010-02-03,173.3333282470703,176.5833282470703,171.6666717529297,174.875,106.99251556396484,6115466
2010-02-04,175.6666717529297,175.6666717529297,172.125,173.0833282470703,105.89630889892578,3554996
2010-02-05,171.6666717529297,175.5833282470703,169.625,170.25,104.16281127929688,3797498
2010-02-08,173.3333282470703,173.3333282470703,167.7083282470703,168.6666717529297,103.19412994384766,2837287
2010-02-09,168.6666717529297,171.1666717529297,168.3333282470703,170.0,104.00988006591797,2134167
2010-02-10,171.125,171.6666717529297,166.75,167.0833282470703,102.22541046142578,2144283
2010-02-11,167.5,170.0,167.0833282470703,169.375,103.62748718261719,2019036
